Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Negativa de asistencia a víctimas de delito,Tesistán
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Negativa de asistencia a víctimas de delito,Tesistán
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Incumplimiento de la función pública en la procuración de justicia,Tesistán
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Abuso sexual,Tesistán
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Abuso sexual,Tesistán
2015,2484,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tesistán
2015,2484,3/13/2015,Acumulación,Instituto Jalisciense de Ciencias Forenses,Instituto Jalisciense de Ciencias Forenses,Violación a los derechos del niño,Tesistán
2015,2484,3/13/2015,Acumulación,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Tesistán
2015,2485,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Tesistán
2015,2485,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Incumplimiento de la función pública en la procuración de justicia,Tesistán
2015,2485,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tesistán
2015,2485,3/13/2015,Acumulación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Negativa de asistencia a víctimas de delito,Tesistán
2015,2493,3/13/2015,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tlajomulco De Zúñiga
2015,2493,3/13/2015,Desistimiento,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Tlajomulco De Zúñiga
2015,2790,4/16/2015,Enviada a la CNDH,Comisión Nacional del Deporte,Comisión Nacional del Deporte,Violación a los derechos del niño,Guadalajara
2015,2790,4/16/2015,Enviada a la CNDH,Comisión Nacional del Deporte,Comisión Nacional del Deporte,Abuso sexual,Guadalajara
2015,2802,4/16/2015,Incompetencia,Consejo Estatal para el Fomento Deportivo y E.,Consejo Estatal para el Fomento Deportivo y E.,Violación a los derechos del niño,Guadalajara
2015,2802,4/16/2015,Incompetencia,Consejo Estatal para el Fomento Deportivo y E.,Consejo Estatal para el Fomento Deportivo y E.,Abuso sexual,Guadalajara
2015,3292,6/1/2015,Desistimiento,Ayuntamiento de Atotonilco El Alto,Ayuntamiento,Violación a los derechos de los reclusos o internos,Atotonilco El Alto
2015,3292,6/1/2015,Desistimiento,Ayuntamiento de Atotonilco El Alto,Ayuntamiento,Abuso sexual,Atotonilco El Alto
2015,3326,6/5/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Tomatlán
2015,3326,6/5/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tomatlán
2015,5454,7/28/2015,Desistimiento,Ayuntamiento de Guadalajara,Ayuntamiento,Hostigamiento sexual,Guadalajara
2015,8235,9/3/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Tlajomulco De Zúñiga
2015,8235,9/3/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la integridad y seguridad personal,Tlajomulco De Zúñiga
2015,8235,9/3/2015,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tlajomulco De Zúñiga
2015,11310,11/8/2015,Enviada a la CNDH,Secretaría de la Defensa Nacional,Secretaría de la Defensa Nacional,Abuso sexual,Guadalajara
2016,2488,2/10/2016,Incompetencia,Secretaría de Educación Pública Federal,Secretaría de Educación Pública Federal,Abuso sexual,Zacoalco De Torres
2016,2488,2/10/2016,Incompetencia,Secretaría de Educación Pública Federal,Secretaría de Educación Pública Federal,Violación a los derechos del niño,Zacoalco De Torres
